"","Centroid Distance","General Trade","Tobacco Trade","GLOBALink Referrals","GLOBALink co-subscription"
"Article 5","0.28 ","-0.20 ","-0.07 ","-0.02 ","0.05 "
"","(0.23)","(0.17)","(0.12)","(0.07)","(0.07)"
"Article 6","0.45 **","0.21 ","0.31 **","0.19 **","0.14 *"
"","(0.20)","(0.19)","(0.13)","(0.08)","(0.08)"
"Article 8","1.19 ***","0.27 ","0.14 ","0.14 ","0.05 "
"","(0.37)","(0.22)","(0.16)","(0.09)","(0.09)"
"Article 11","2.52 ***","0.40 ","0.10 ","0.20 ","0.33 "
"","(0.61)","(0.49)","(0.33)","(0.20)","(0.20)"
"Article 13","0.85 *","0.00 ","-0.07 ","0.05 ","0.33 "
"","(0.45)","(0.46)","(0.31)","(0.21)","(0.21)"
"Article 14","0.92 ","-0.07 ","0.95 ","0.06 ","0.50 "
"","(1.08)","(0.92)","(0.62)","(0.42)","(0.39)"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes the lagged number of items reported. "
